2025-03-27 23:54:17 INFO  consumer.consumer.KafkaConsumer - Message[title=msg, description=msg from Lera, senderName=Lera, senderAge=20] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=102447787077, productId=BTC-USD, price=85047.24, open24h=87204.13, volume24h=8428.56637857, low24h=84964.58, high24h=87719.5, volume30d=345045.64185729, bestBid=85047.23, bestBidSize=0.00236637, bestAsk=85047.24, bestAskSize=0.26037546, side=buy, time=2025-03-28T10:53:03.574496Z, tradeId=802878666, lastSize=0.0001] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825467203, productId=ETH-USD, price=1911.18, open24h=2025.05, volume24h=146867.48062930, low24h=1901.82, high24h=2030.69, volume30d=4800878.84250490, bestBid=1911.18, bestBidSize=0.00488895, bestAsk=1911.30, bestAskSize=0.00558701, side=sell, time=2025-03-28T10:53:02.860432Z, tradeId=626952110, lastSize=0.00004186] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825467587, productId=ETH-USD, price=1911.24, open24h=2025.05, volume24h=146867.48305965, low24h=1901.82, high24h=2030.69, volume30d=4800878.84493525, bestBid=1911.18, bestBidSize=0.00490104, bestAsk=1911.25, bestAskSize=0.52321778, side=buy, time=2025-03-28T10:53:06.039908Z, tradeId=626952111, lastSize=0.00243035] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825467589, productId=ETH-USD, price=1911.25, open24h=2025.05, volume24h=146867.57989090, low24h=1901.82, high24h=2030.69, volume30d=4800878.94176650, bestBid=1911.18, bestBidSize=0.00490104, bestAsk=1911.25, bestAskSize=0.42638653, side=buy, time=2025-03-28T10:53:06.039908Z, tradeId=626952112, lastSize=0.09683125] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825467765, productId=ETH-USD, price=1911.15, open24h=2025.05, volume24h=146867.58547809, low24h=1901.82, high24h=2030.69, volume30d=4800878.94735369, bestBid=1911.14, bestBidSize=0.00016534, bestAsk=1911.18, bestAskSize=1.00241154, side=sell, time=2025-03-28T10:53:06.440368Z, tradeId=626952113, lastSize=0.00558719] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825468015, productId=ETH-USD, price=1911.14, open24h=2025.05, volume24h=146867.58564343, low24h=1901.82, high24h=2030.69, volume30d=4800878.94751903, bestBid=1911.14, bestBidSize=0.00558722, bestAsk=1911.15, bestAskSize=1.00241154, side=sell, time=2025-03-28T10:53:06.517394Z, tradeId=626952114, lastSize=0.00016534] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825468017, productId=ETH-USD, price=1911.14, open24h=2025.05, volume24h=146867.59123065, low24h=1901.82, high24h=2030.69, volume30d=4800878.95310625, bestBid=1910.89, bestBidSize=0.05000000, bestAsk=1911.15, bestAskSize=1.00241154, side=sell, time=2025-03-28T10:53:06.517394Z, tradeId=626952115, lastSize=0.00558722] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825468525, productId=ETH-USD, price=1910.9, open24h=2025.05, volume24h=146867.59254759, low24h=1901.82, high24h=2030.69, volume30d=4800878.95442319, bestBid=1910.89, bestBidSize=0.05000000, bestAsk=1910.91, bestAskSize=0.54963000, side=sell, time=2025-03-28T10:53:06.979639Z, tradeId=626952116, lastSize=0.00131694] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825468527, productId=ETH-USD, price=1910.89, open24h=2025.05, volume24h=146867.64254759, low24h=1901.82, high24h=2030.69, volume30d=4800879.00442319, bestBid=1910.67, bestBidSize=1.40656294, bestAsk=1910.91, bestAskSize=0.54963000, side=sell, time=2025-03-28T10:53:06.979639Z, tradeId=626952117, lastSize=0.05] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825468799, productId=ETH-USD, price=1910.88, open24h=2025.05, volume24h=146867.64367499, low24h=1901.82, high24h=2030.69, volume30d=4800879.00555059, bestBid=1910.68, bestBidSize=1.78251184, bestAsk=1910.89, bestAskSize=2.44493617, side=sell, time=2025-03-28T10:53:07.094865Z, tradeId=626952118, lastSize=0.0011274] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=102447787646, productId=BTC-USD, price=85047.24, open24h=87204.13, volume24h=8428.56658244, low24h=84964.58, high24h=87719.5, volume30d=345045.64206116, bestBid=85047.23, bestBidSize=0.00236637, bestAsk=85047.24, bestAskSize=0.52057818, side=buy, time=2025-03-28T10:53:08.055691Z, tradeId=802878667, lastSize=0.00020387] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=102447787654, productId=BTC-USD, price=85047.24, open24h=87204.13, volume24h=8428.56828592, low24h=84964.58, high24h=87719.5, volume30d=345045.64376464, bestBid=85047.23, bestBidSize=0.00236637, bestAsk=85047.24, bestAskSize=0.51887470, side=buy, time=2025-03-28T10:53:08.100074Z, tradeId=802878668, lastSize=0.00170348] ,getKafkaMessage method
